player_name,position,projected_points,last_week_played,last_season_played,player_display_name,avg_last_3_games,snap_pct,recent_pass_attempts,recent_rush_attempts,injury_status,injury_multiplier,recent_targets,overall_rank,position_rank
C.McCaffrey,RB,28.392606735229492,9,2025,Christian McCaffrey,24.33333333333333,,,28.0,,1.0,6.0,1,1.0
L.Jackson,QB,24.522296905517578,9,2025,Lamar Jackson,21.99999999999999,,25.0,5.0,,1.0,,2,1.0
C.Williams,QB,23.80552101135254,9,2025,Caleb Williams,12.12,,37.0,5.0,,1.0,,3,2.0
J.Gibbs,RB,23.41086769104004,9,2025,Jahmyr Gibbs,20.23333333333333,,,9.0,,1.0,3.0,4,2.0
D.Adams,WR,22.81711769104004,9,2025,Davante Adams,16.066666666666663,,,0.0,,1.0,7.0,5,1.0
J.Herbert,QB,21.524124145507812,9,2025,Justin Herbert,23.98,,35.0,9.0,,1.0,,6,3.0
P.Mahomes,QB,21.44670295715332,9,2025,Patrick Mahomes,26.89333333333333,,38.0,1.0,,1.0,,7,4.0
B.Bowers,TE,21.300334930419922,9,2025,Brock Bowers,8.733333333333334,,,1.0,,1.0,13.0,8,1.0
J.Allen,QB,21.23944854736328,9,2025,Josh Allen,20.013333333333332,,29.0,6.0,,1.0,,9,5.0
J.Dart,QB,20.969619750976562,9,2025,Jaxson Dart,23.813333333333336,,35.0,8.0,,1.0,,10,6.0
D.Prescott,QB,20.808792114257812,9,2025,Rayne Prescott,17.406666666666666,,44.0,4.0,,1.0,,11,7.0
P.Nacua,WR,20.781064987182617,9,2025,Puka Nacua,21.766666666666666,,,1.0,,1.0,8.0,12,2.0
M.Stafford,QB,20.3201961517334,9,2025,John Stafford,22.093333333333334,,34.0,4.0,,1.0,,13,8.0
A.St. Brown,WR,20.12088394165039,9,2025,Amon-Ra St. Brown,17.433333333333326,,,0.0,,1.0,13.0,14,3.0
R.Rice,WR,19.893186569213867,9,2025,Rashee Rice,25.933333333333337,,,2.0,,1.0,7.0,15,4.0
D.Jones,QB,19.87000846862793,9,2025,Daniel Jones,21.860000000000003,,55.0,3.0,,1.0,,16,9.0
J.Goff,QB,19.311222076416016,9,2025,Jared Goff,17.093333333333334,,42.0,0.0,,1.0,,17,10.0
D.Maye,QB,19.09210205078125,9,2025,Drake Maye,24.866666666666664,,35.0,8.0,,1.0,,18,11.0
J.Hurts,QB,18.857177734375,8,2025,Jalen Hurts,21.386666666666667,,24.0,4.0,,1.0,,19,12.0
B.Mayfield,QB,18.69374656677246,8,2025,Baker Mayfield,18.473333333333336,,27.0,0.0,,1.0,,20,13.0
J.Flacco,QB,18.608476638793945,9,2025,Joseph Flacco,22.35333333333333,,51.0,1.0,,1.0,,21,14.0
J.Smith-Njigba,WR,18.538299560546875,9,2025,Jaxon Smith-Njigba,27.9,,,1.0,,1.0,9.0,22,5.0
A.Rodgers,QB,18.495262145996094,9,2025,Aaron Rodgers,18.940000000000005,,38.0,2.0,,1.0,,23,15.0
J.Love,QB,18.293394088745117,9,2025,Jordan Love,18.206666666666667,,38.0,1.0,,1.0,,24,16.0
Q.Johnston,WR,18.22399139404297,9,2025,Quentin Johnston,14.566666666666668,,,0.0,,1.0,6.0,25,6.0
S.Darnold,QB,18.005029678344727,9,2025,Sam Darnold,19.42,,24.0,0.0,,1.0,,26,17.0
D.Achane,RB,17.657630920410156,9,2025,Devon Achane,21.3,,,14.0,,1.0,10.0,27,3.0
D.Henry,RB,17.481782913208008,9,2025,Derrick Henry,14.133333333333336,,,19.0,,1.0,1.0,28,4.0
S.Barkley,RB,17.393476486206055,8,2025,Saquon Barkley,10.56666666666667,,,14.0,,1.0,5.0,29,5.0
J.Addison,WR,17.012615203857422,9,2025,Jordan Addison,16.166666666666664,,,1.0,,1.0,4.0,30,7.0
B.Hall,RB,16.744413375854492,8,2025,Breece Hall,10.866666666666667,,,18.0,,1.0,3.0,31,6.0
J.Jacobs,RB,16.70475959777832,9,2025,Joshua Jacobs,21.433333333333334,,,17.0,,1.0,5.0,32,7.0
J.Taylor,RB,16.563180923461914,9,2025,Jonathan Taylor,31.76666666666667,,,14.0,,1.0,2.0,33,8.0
K.Williams,RB,16.499340057373047,9,2025,Kyren Williams,19.433333333333334,,,25.0,,1.0,0.0,34,9.0
K.Vidal,RB,16.46332550048828,9,2025,Kimani Vidal,16.666666666666668,,,12.0,,1.0,1.0,35,10.0
T.Lawrence,QB,16.455419540405273,9,2025,Trevor Lawrence,21.7,,35.0,9.0,,1.0,,36,18.0
J.Ferguson,TE,15.878074645996094,9,2025,Jake Ferguson,11.4,,,0.0,,1.0,7.0,37,2.0
M.Penix,QB,15.863580703735352,9,2025,Michael Penix,15.853333333333332,,38.0,2.0,,1.0,,38,19.0
J.Fields,QB,15.825623512268066,8,2025,Justin Fields,10.286666666666669,,33.0,12.0,,1.0,,39,20.0
D.London,WR,15.720640182495117,9,2025,Drake London,21.66666666666667,,,0.0,,1.0,14.0,40,8.0
C.Olave,WR,15.629888534545898,9,2025,Chris Olave,18.866666666666664,,,0.0,,1.0,4.0,41,9.0
J.Jefferson,WR,15.453238487243652,9,2025,Justin Jefferson,15.533333333333337,,,0.0,,1.0,9.0,42,10.0
M.Jones,QB,15.21645736694336,9,2025,Michael Jones,10.793333333333331,,26.0,4.0,,1.0,,43,21.0
C.Ward,QB,14.862237930297852,9,2025,Cameron Ward,11.946666666666667,,25.0,2.0,,1.0,,44,22.0
J.Williams,RB,14.723528480529785,9,2025,Javonte Williams,15.033333333333331,,,15.0,Questionable,0.9,1.0,45,11.0
T.Tagovailoa,QB,14.676615715026855,9,2025,Tua Tagovailoa,9.8,,42.0,1.0,,1.0,,46,23.0
J.Chase,WR,14.45096206665039,9,2025,Ja'Marr Chase,28.099999999999994,,,0.0,,1.0,8.0,47,11.0
D.Swift,RB,14.165156936645507,8,2025,D'Andre Swift,20.76666666666667,,,11.0,Questionable,0.9,2.0,48,12.0
J.Cook,RB,13.83383560180664,9,2025,James Cook,15.733333333333334,,,27.0,,1.0,1.0,49,13.0
B.Robinson,RB,13.74668025970459,9,2025,Bijan Robinson,21.6,,,12.0,,1.0,10.0,50,14.0
S.Rattler,QB,13.740843772888184,8,2025,Spencer Rattler,13.233333333333334,,24.0,3.0,,1.0,,51,24.0
J.McCarthy,QB,13.698188781738281,9,2025,Jonathan McCarthy,12.52,,30.0,9.0,,1.0,,52,25.0
C.Brown,RB,13.686817169189453,9,2025,Chase Brown,14.8,,,11.0,,1.0,14.0,53,15.0
K.Cousins,QB,13.577219009399414,8,2025,Kirk Cousins,5.800000000000004,,32.0,2.0,,1.0,,54,26.0
S.Diggs,WR,13.560447692871094,9,2025,Stefon Diggs,10.033333333333331,,,0.0,,1.0,4.0,55,12.0
D.Njoku,TE,13.549409866333008,8,2025,David Njoku,9.200000000000005,,,0.0,,1.0,5.0,56,3.0
A.Pierce,WR,13.517260551452637,9,2025,Alec Pierce,10.166666666666668,,,0.0,,1.0,13.0,57,13.0
J.Downs,WR,13.445941925048828,9,2025,Joshua Downs,13.5,,,0.0,,1.0,9.0,58,14.0
M.Andrews,TE,13.38956069946289,9,2025,Mark Andrews,5.733333333333337,,,2.0,,1.0,3.0,59,4.0
K.Allen,WR,13.341621398925781,9,2025,Keenan Allen,14.666666666666666,,,0.0,,1.0,5.0,60,15.0
M.Pittman,WR,13.331854820251465,9,2025,Michael Pittman,15.433333333333335,,,0.0,,1.0,12.0,61,16.0
J.Meyers,WR,13.324637413024902,9,2025,Jakobi Meyers,7.366666666666668,,,0.0,,1.0,6.0,62,17.0
T.Etienne,RB,13.246482849121094,9,2025,Travis Etienne,8.266666666666662,,,22.0,,1.0,5.0,63,16.0
R.Doubs,WR,13.226054191589355,9,2025,Romeo Doubs,10.366666666666667,,,0.0,,1.0,10.0,64,18.0
G.Smith,QB,13.182733726501466,9,2025,Eugene Smith,5.786666666666665,,42.0,5.0,Questionable,0.9,,65,27.0
D.Montgomery,RB,13.176410675048828,9,2025,David Montgomery,10.740000000000002,,,11.0,,1.0,4.0,66,17.0
J.Waddle,WR,13.073742866516113,9,2025,Jaylen Waddle,13.073333333333329,,,0.0,,1.0,9.0,67,19.0
T.McBride,TE,12.966880798339844,9,2025,Trey McBride,19.899999999999995,,,0.0,,1.0,9.0,68,5.0
Z.Flowers,WR,12.9390230178833,9,2025,Xavien Flowers,12.300000000000002,,,0.0,,1.0,5.0,69,20.0
D.Smith,WR,12.932426452636719,8,2025,DeVonta Smith,20.53333333333333,,,0.0,,1.0,9.0,70,21.0
T.Warren,TE,12.92401123046875,9,2025,Tyler Warren,14.833333333333334,,,0.0,,1.0,7.0,71,6.0
W.Robinson,WR,12.889799118041992,9,2025,Charles Robinson,14.566666666666665,,,0.0,,1.0,11.0,72,22.0
R.Shaheed,WR,12.874724388122559,9,2025,Rashid Shaheed,10.433333333333334,,,0.0,,1.0,9.0,73,23.0
E.Egbuka,WR,12.791403770446777,8,2025,Emeka Egbuka,14.5,,,0.0,,1.0,9.0,74,24.0
R.Odunze,WR,12.741271018981934,9,2025,Rome Odunze,9.566666666666666,,,0.0,,1.0,3.0,75,25.0
A.Jeanty,RB,12.709518432617188,9,2025,Ashton Jeanty,12.300000000000002,,,13.0,,1.0,5.0,76,18.0
R.Dowdle,RB,12.658121109008789,9,2025,Rico Dowdle,16.633333333333336,,,25.0,,1.0,3.0,77,19.0
N.Collins,WR,12.548979759216309,9,2025,Nico Collins,11.533333333333331,,,0.0,,1.0,11.0,78,26.0
R.White,RB,12.373072624206543,8,2025,Rachaad White,16.36666666666667,,,13.0,,1.0,2.0,79,20.0
N.Fant,TE,11.909972190856934,9,2025,Noah Fant,9.4,,,0.0,,1.0,3.0,80,7.0
M.Mariota,QB,11.890301704406738,8,2025,Marcus Mariota,13.480000000000004,,32.0,8.0,,1.0,,81,28.0
K.Pitts,TE,11.852296829223633,9,2025,Kyle Pitts,10.966666666666669,,,0.0,,1.0,7.0,82,8.0
L.McConkey,WR,11.791555404663086,9,2025,Andrew McConkey,19.83333333333333,,,0.0,,1.0,6.0,83,27.0
G.Kittle,TE,11.711799621582031,9,2025,George Kittle,8.933333333333332,,,1.0,,1.0,4.0,84,9.0
N.Folk,K,11.59911060333252,8,2025,,7.0,,,,,1.0,,85,1.0
J.Dobbins,RB,11.510816287994386,9,2025,Jkaylin Dobbins,9.033333333333331,,,15.0,Questionable,0.9,1.0,86,21.0
K.Bourne,WR,11.393169403076172,9,2025,Kendrick Bourne,10.000000000000002,,,0.0,,1.0,2.0,87,28.0
C.Otton,TE,11.340485572814941,8,2025,Cade Otton,11.9,,,0.0,,1.0,5.0,88,10.0
M.Harrison,WR,11.184954643249512,9,2025,Marvin Harrison,8.933333333333334,,,0.0,,1.0,10.0,89,29.0
T.Higgins,WR,11.1412353515625,9,2025,Tamaurice Higgins,14.733333333333336,,,0.0,,1.0,10.0,90,30.0
D.Gabriel,QB,11.002556800842285,8,2025,Dillon Gabriel,10.26,,37.0,1.0,,1.0,,91,29.0
B.Nix,QB,10.835321426391602,9,2025,Bo Nix,24.366666666666664,,39.0,3.0,,1.0,,92,30.0
D.Goedert,TE,10.747771263122559,8,2025,Dallas Goedert,13.9,,,0.0,,1.0,3.0,93,11.0
B.Young,QB,10.71235179901123,9,2025,Bryce Young,14.333333333333329,,21.0,2.0,,1.0,,94,31.0
J.Elliott,K,10.643436431884766,8,2025,,4.666666666666667,,,,,1.0,,95,2.0
M.Badgley,K,10.629326820373535,9,2025,,7.0,,,,,1.0,,96,3.0
J.Brissett,QB,10.44752025604248,9,2025,Jacoby Brissett,14.153333333333334,,36.0,5.0,,1.0,,97,32.0
T.Tucker,WR,10.435677528381348,9,2025,Tre Tucker,10.466666666666669,,,0.0,,1.0,4.0,98,31.0
J.Jennings,WR,10.343110084533691,9,2025,Bennie Jennings,5.766666666666668,,,0.0,,1.0,5.0,99,32.0
J.Warren,RB,10.256752014160156,9,2025,Jaylen Warren,12.466666666666663,,,16.0,,1.0,2.0,100,22.0
D.Metcalf,WR,10.235333442687988,9,2025,DeKaylin Metcalf,14.666666666666666,,,0.0,,1.0,4.0,101,33.0
K.Shakir,WR,10.20572566986084,9,2025,Khalil Shakir,12.700000000000005,,,0.0,,1.0,8.0,102,34.0
T.Franklin,WR,10.196422576904297,9,2025,Troy Franklin,14.3,,,2.0,,1.0,11.0,103,35.0
J.Johnson,TE,10.158596992492676,9,2025,Juwan Johnson,8.9,,,0.0,,1.0,4.0,104,12.0
Z.Ertz,TE,10.093326568603516,9,2025,Zachary Ertz,11.533333333333331,,,0.0,,1.0,4.0,105,13.0
J.Mason,RB,10.068424224853516,9,2025,Jordan Mason,9.3,,,10.0,,1.0,1.0,106,23.0
T.Huntley,QB,10.05078125,8,2025,Tyler Huntley,13.166666666666666,,24.0,8.0,,1.0,,107,33.0
J.Myers,K,10.049856185913086,9,2025,,7.333333333333333,,,,,1.0,,108,4.0
G.Pickens,WR,10.02669620513916,9,2025,George Pickens,19.6,,,0.0,,1.0,9.0,109,36.0
C.Watson,WR,9.928354167938233,9,2025,Christian Watson,4.933333333333333,,,0.0,Questionable,0.9,4.0,110,37.0
D.Schultz,TE,9.905850410461426,9,2025,Dalton Schultz,11.4,,,0.0,,1.0,8.0,111,14.0
C.Loveland,TE,9.901330947875977,9,2025,Colston Loveland,5.1000000000000005,,,0.0,,1.0,8.0,112,15.0
A.Barner,TE,9.83787660598755,9,2025,A.J. Barner,12.1,,,1.0,Questionable,0.9,4.0,113,16.0
Q.Judkins,RB,9.824609756469727,8,2025,Quinshon Judkins,14.6,,,9.0,,1.0,3.0,114,24.0
H.Fannin,TE,9.824016666412353,8,2025,Harold Fannin,11.333333333333334,,,1.0,Questionable,0.9,9.0,115,17.0
M.Brown,WR,9.76895523071289,9,2025,Marquise Brown,9.966666666666669,,,0.0,,1.0,4.0,116,38.0
T.Kelce,TE,9.737278938293457,9,2025,Travis Kelce,14.699999999999998,,,0.0,,1.0,6.0,117,18.0
B.McManus,K,9.687249183654785,9,2025,,7.666666666666667,,,,,1.0,,118,5.0
C.Sutton,WR,9.631231307983398,9,2025,Courtland Sutton,9.366666666666664,,,0.0,,1.0,6.0,119,39.0
C.Hubbard,RB,9.385998725891113,9,2025,Chuba Hubbard,8.93333333333333,,,5.0,,1.0,1.0,120,25.0
K.Monangai,RB,9.151122093200684,9,2025,Kyle Monangai,8.399999999999999,,,26.0,,1.0,5.0,121,26.0
T.Pollard,RB,9.074029922485352,9,2025,Tony Pollard,8.366666666666665,,,10.0,,1.0,2.0,122,27.0
M.Washington,WR,9.00790023803711,9,2025,Malik Washington,9.3,,,3.0,,1.0,3.0,123,40.0
C.McLaughlin,K,8.961978912353516,8,2025,,7.0,,,,,1.0,,124,6.0
T.Johnson,TE,8.941682815551758,9,2025,Theodore Johnson,8.433333333333332,,,0.0,,1.0,6.0,125,19.0
T.Tracy,RB,8.827670097351074,9,2025,Tyrone Tracy,6.166666666666667,,,5.0,,1.0,4.0,126,28.0
P.Freiermuth,TE,8.824773788452148,9,2025,Pat Freiermuth,11.5,,,0.0,,1.0,4.0,127,20.0
D.Samuel,WR,8.778034210205078,9,2025,Tyshun Samuel,11.06666666666667,,,1.0,,1.0,6.0,128,41.0
C.Ryland,K,8.764758110046387,9,2025,,7.666666666666667,,,,,1.0,,129,7.0
T.Hockenson,TE,8.75678825378418,9,2025,Thomas Hockenson,8.233333333333333,,,0.0,,1.0,3.0,130,21.0
O.Zaccheaus,WR,8.723532676696777,9,2025,Olamide Zaccheaus,6.000000000000001,,,0.0,,1.0,8.0,131,42.0
N.Chubb,RB,8.713936805725098,9,2025,Nicholas Chubb,7.700000000000003,,,11.0,,1.0,0.0,132,29.0
X.Worthy,WR,8.702131271362305,9,2025,Xavier Worthy,9.566666666666666,,,1.0,,1.0,7.0,133,43.0
B.Aubrey,K,8.685452461242676,9,2025,,9.666666666666666,,,,,1.0,,134,8.0
A.Borregales,K,8.682013511657715,9,2025,,8.0,,,,,1.0,,135,9.0
Z.Charbonnet,RB,8.659595489501953,9,2025,Zach Charbonnet,11.999999999999998,,,8.0,,1.0,1.0,136,30.0
T.Thornton,WR,8.583709716796875,9,2025,Tyquan Thornton,8.333333333333334,,,0.0,,1.0,1.0,137,44.0
E.Pineiro,K,8.579883575439453,9,2025,,7.333333333333333,,,,,1.0,,138,10.0
A.Dalton,QB,8.57618236541748,8,2025,Andrew Dalton,2.806666666666672,,31.0,2.0,,1.0,,139,34.0
J.Smith,TE,8.459759712219238,9,2025,Jonnu Smith,7.099999999999995,,,0.0,,1.0,5.0,140,22.0
M.Wright,K,8.440935134887695,8,2025,,5.666666666666667,,,,,1.0,,141,11.0
X.Legette,WR,8.430702209472656,9,2025,Xavier Legette,10.333333333333334,,,0.0,,1.0,3.0,142,45.0
C.Lamb,WR,8.423856735229492,9,2025,Cedarian Lamb,18.933333333333334,,,0.0,,1.0,12.0,143,46.0
S.LaPorta,TE,8.397503852844238,9,2025,Sam LaPorta,13.733333333333334,,,0.0,,1.0,8.0,144,23.0
J.Croskey-Merritt,RB,8.379124641418457,9,2025,Jacory Croskey-Merritt,4.833333333333333,,,12.0,,1.0,1.0,145,31.0
K.Coleman,WR,8.3480806350708,9,2025,Keon Coleman,7.466666666666666,,,0.0,,1.0,2.0,146,47.0
C.Santos,K,8.342726707458496,9,2025,,10.0,,,,,1.0,,147,12.0
R.Patterson,K,8.329741477966309,9,2025,,8.333333333333334,,,,,1.0,,148,13.0
A.Kamara,RB,8.32140884399414,9,2025,Alvin Kamara,8.33333333333333,,,6.0,Questionable,0.9,3.0,149,32.0
K.Walker,RB,8.185009956359863,9,2025,Kenneth Walker,6.966666666666666,,,11.0,,1.0,2.0,150,33.0
B.Brown,RB,8.10325813293457,9,2025,Brittain Brown,,,,5.0,,1.0,1.0,151,34.0
J.Smith-Schuster,WR,8.005121231079102,9,2025,John Smith-Schuster,6.700000000000002,,,0.0,,1.0,1.0,152,48.0
A.Thielen,WR,7.965747356414795,8,2025,Adam Thielen,1.700000000000001,,,0.0,,1.0,2.0,153,49.0
E.Ayomanor,WR,7.842778205871582,9,2025,Elic Ayomanor,6.6000000000000005,,,0.0,,1.0,6.0,154,50.0
J.Patterson,RB,7.8286542892456055,9,2025,Jaret Patterson,5.433333333333334,,,9.0,,1.0,0.0,155,35.0
T.McMillan,WR,7.825924587249756,9,2025,Tetairoa McMillan,13.699999999999998,,,0.0,Questionable,0.9,6.0,156,51.0
O.Gadsden,TE,7.664634704589844,9,2025,Oronde Gadsden,20.633333333333333,,,0.0,,1.0,5.0,157,24.0
A.Iosivas,WR,7.659176349639893,9,2025,Andrei Iosivas,3.133333333333334,,,1.0,,1.0,7.0,158,52.0
K.Gainwell,RB,7.647057056427002,9,2025,Kenneth Gainwell,6.2,,,3.0,,1.0,5.0,159,36.0
P.Washington,WR,7.645301342010498,9,2025,Christopher Washington,8.233333333333333,,,0.0,,1.0,9.0,160,53.0
C.Okonkwo,TE,7.635719299316406,9,2025,Chigoziem Okonkwo,6.633333333333333,,,0.0,,1.0,2.0,161,25.0
T.Higbee,TE,7.635519504547119,9,2025,Tyler Higbee,7.800000000000002,,,0.0,,1.0,4.0,162,26.0
I.Likely,TE,7.594552516937256,9,2025,Isaiah Likely,2.533333333333333,,,0.0,,1.0,4.0,163,27.0
B.Grupe,K,7.5597333908081055,9,2025,,6.0,,,,,1.0,,164,14.0
T.Loop,K,7.536114692687988,9,2025,,6.333333333333333,,,,,1.0,,165,15.0
D.Kincaid,TE,7.5172834396362305,9,2025,Dalton Kincaid,9.966666666666669,,,0.0,,1.0,6.0,166,28.0
S.Shepard,WR,7.516794204711914,8,2025,Sterling Shepard,9.499999999999998,,,0.0,,1.0,2.0,167,54.0
M.Tipton,WR,7.484722137451172,8,2025,Mason Tipton,0.0,,,0.0,,1.0,1.0,168,55.0
K.Hunt,RB,7.470078945159912,9,2025,Kareem Hunt,7.799999999999998,,,11.0,,1.0,2.0,169,37.0
J.Bates,K,7.449499130249023,9,2025,,5.333333333333333,,,,,1.0,,170,16.0
C.Austin,WR,7.419736862182617,9,2025,Calvin Austin,7.500000000000003,,,0.0,,1.0,6.0,171,56.0
D.Slayton,WR,7.389246940612793,9,2025,Darius Slayton,6.033333333333329,,,0.0,,1.0,7.0,172,57.0
C.Little,K,7.367897033691406,9,2025,,2.6666666666666665,,,,,1.0,,173,17.0
C.Kmet,TE,7.362997055053711,9,2025,Cole Kmet,3.733333333333333,,,0.0,,1.0,2.0,174,29.0
R.Fitzgerald,K,7.32602596282959,9,2025,,7.333333333333333,,,,,1.0,,175,18.0
H.Butker,K,7.324372291564941,9,2025,,5.666666666666667,,,,,1.0,,176,19.0
O.Gordon,RB,7.279922962188721,9,2025,Ollie Gordon,5.7,,,2.0,Questionable,0.9,1.0,177,38.0
J.McNichols,RB,7.1875834465026855,9,2025,Jeremy McNichols,8.266666666666664,,,1.0,,1.0,0.0,178,39.0
C.Dicker,K,7.1683549880981445,9,2025,,12.0,,,,,1.0,,179,20.0
E.McPherson,K,7.144004821777344,9,2025,,9.0,,,,,1.0,,180,21.0
J.Coker,WR,7.135564804077148,9,2025,Jalen Coker,6.853333333333334,,,0.0,,1.0,1.0,181,58.0
W.Reichard,K,7.086607456207275,9,2025,,7.666666666666667,,,,,1.0,,182,22.0
A.Jones,RB,7.086152887344361,9,2025,Aaron Jones,7.666666666666668,,,9.0,Questionable,0.9,2.0,183,40.0
M.Gay,K,7.03880500793457,9,2025,,5.666666666666667,,,,,1.0,,184,23.0
B.Cooks,WR,7.036002159118652,9,2025,Brandin Cooks,3.199999999999998,,,0.0,,1.0,3.0,185,59.0
D.Hopkins,WR,7.014938831329346,9,2025,DeAndre Hopkins,4.333333333333339,,,0.0,,1.0,1.0,186,60.0
